"filename", "language", "XML", "Razor", "CSS", "Markdown", "JavaScript", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListCategories.cshtml", "Razor", 0, 147, 0, 0, 0, 0, 0, 0, 3, 10, 160
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListComplaints.cshtml", "Razor", 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListFeedbacks.cshtml", "Razor", 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListOrders.cshtml", "Razor", 0, 125, 0, 0, 0, 0, 0, 0, 0, 5, 130
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListProducts.cshtml", "Razor", 0, 181, 0, 0, 0, 0, 0, 0, 1, 10, 192
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListRestaurants.cshtml", "Razor", 0, 188, 0, 0, 0, 0, 0, 0, 1, 7, 196
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\ListUsers.cshtml", "Razor", 0, 173, 0, 0, 0, 0, 0, 0, 1, 11, 185
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\OrderManager.cshtml", "Razor", 0, 180, 0, 0, 0, 0, 0, 0, 0, 8, 188
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\RestaurantDetail.cshtml", "Razor", 0, 53, 0, 0, 0, 0, 0, 0, 21, 3, 77
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\UserDetail.cshtml", "Razor", 0, 50, 0, 0, 0, 0, 0, 0, 21, 2, 73
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\WaitApprovedComments.cshtml", "Razor", 0, 120, 0, 0, 0, 0, 0, 0, 1, 4, 125
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\WaitApprovedProducts.cshtml", "Razor", 0, 141, 0, 0, 0, 0, 0, 0, 1, 4, 146
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Admin\WaitApprovedRestaurants.cshtml", "Razor", 0, 157, 0, 0, 0, 0, 0, 0, 1, 4, 162
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Cart\DangerPayment.cshtml", "Razor", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
